
CLAM2 Development Software Ver.05:   CLAM2 Development by PES using Synchrotron Light: EDC
Sunday, September 04, 2011
Messured: 4:25:28 PM - 11:34:40 PM


Parameter Setting
Fix Photon Energy: 805.000000 eV
1638.4 eV (XPS): CAE=100
Kinetic Energy Scan:   496.0000 - 516.0000   eV 
 Kinetic Energy Step:  0.1000   eV 
 2400 lines/mm 
 Ch4-Speed:  High Speed Mode 
 Sampling: 1
Number of scan : 125*

Energy (eV)	CPS	Ie (mA)	Ip (A)	CPS/Ip	Avg CPS	Avg CPS/Ip	


Scan : 	1

506.300000	1991.000000	161.214000	3.146283E-11	6.328102E+13	1991.000000	6.328102E+13
506.400000	1850.000000	161.198000	3.138112E-11	5.895264E+13	1850.000000	5.895264E+13
506.500000	1807.000000	161.198000	3.206679E-11	5.635113E+13	1807.000000	5.635113E+13
506.600000	1562.000000	161.183000	3.183231E-11	4.906964E+13	1562.000000	4.906964E+13
506.700000	1499.000000	161.183000	3.203837E-11	4.678765E+13	1499.000000	4.678765E+13
506.800000	1371.000000	161.183000	3.146639E-11	4.357030E+13	1371.000000	4.357030E+13
506.900000	1317.000000	161.167000	3.178968E-11	4.142854E+13	1317.000000	4.142854E+13
507.000000	1303.000000	161.167000	3.177902E-11	4.100189E+13	1303.000000	4.100189E+13
507.100000	1206.000000	161.151000	3.162270E-11	3.813716E+13	1206.000000	3.813716E+13
507.200000	1237.000000	161.151000	3.162270E-11	3.911747E+13	1237.000000	3.911747E+13
507.300000	1274.000000	161.136000	3.170442E-11	4.018367E+13	1274.000000	4.018367E+13
507.400000	1168.000000	161.136000	3.178258E-11	3.674969E+13	1168.000000	3.674969E+13
507.500000	1312.000000	161.119000	3.148770E-11	4.166706E+13	1312.000000	4.166706E+13
507.600000	1405.000000	161.119000	3.177902E-11	4.421156E+13	1405.000000	4.421156E+13
507.700000	1495.000000	161.103000	3.175771E-11	4.707518E+13	1495.000000	4.707518E+13
507.800000	1645.000000	161.103000	3.192824E-11	5.152179E+13	1645.000000	5.152179E+13
507.900000	1773.000000	161.103000	3.198863E-11	5.542594E+13	1773.000000	5.542594E+13
508.000000	1831.000000	161.086000	3.155520E-11	5.802530E+13	1831.000000	5.802530E+13
508.100000	2014.000000	161.086000	3.180745E-11	6.331850E+13	2014.000000	6.331850E+13
508.200000	2144.000000	161.069000	3.147704E-11	6.811314E+13	2144.000000	6.811314E+13
508.300000	2329.000000	161.069000	3.204903E-11	7.266991E+13	2329.000000	7.266991E+13
508.400000	2341.000000	161.052000	3.163692E-11	7.399583E+13	2341.000000	7.399583E+13
508.500000	2692.000000	161.052000	3.187139E-11	8.446447E+13	2692.000000	8.446447E+13
508.600000	2766.000000	161.035000	3.162626E-11	8.745897E+13	2766.000000	8.745897E+13
508.700000	2758.000000	161.035000	3.192113E-11	8.640045E+13	2758.000000	8.640045E+13
508.800000	2891.000000	161.035000	3.169376E-11	9.121669E+13	2891.000000	9.121669E+13
508.900000	3069.000000	161.018000	3.162981E-11	9.702872E+13	3069.000000	9.702872E+13
509.000000	2936.000000	161.018000	3.203837E-11	9.164012E+13	2936.000000	9.164012E+13
509.100000	3048.000000	161.001000	3.182521E-11	9.577313E+13	3048.000000	9.577313E+13
509.200000	2964.000000	161.001000	3.170797E-11	9.347808E+13	2964.000000	9.347808E+13
509.300000	2867.000000	160.985000	3.141309E-11	9.126768E+13	2867.000000	9.126768E+13
509.400000	2886.000000	160.985000	3.180389E-11	9.074362E+13	2886.000000	9.074362E+13
509.500000	2778.000000	160.968000	3.202061E-11	8.675662E+13	2778.000000	8.675662E+13
509.600000	2681.000000	160.968000	3.182876E-11	8.423200E+13	2681.000000	8.423200E+13
509.700000	2568.000000	160.951000	3.203127E-11	8.017166E+13	2568.000000	8.017166E+13
509.800000	2230.000000	160.951000	3.200640E-11	6.967357E+13	2230.000000	6.967357E+13
509.900000	2205.000000	160.951000	3.203127E-11	6.883898E+13	2205.000000	6.883898E+13
510.000000	1946.000000	160.934000	3.209166E-11	6.063881E+13	1946.000000	6.063881E+13
510.100000	1744.000000	160.934000	3.210587E-11	5.432028E+13	1744.000000	5.432028E+13
510.200000	1588.000000	160.917000	3.205614E-11	4.953809E+13	1588.000000	4.953809E+13
510.300000	1409.000000	160.917000	3.189626E-11	4.417446E+13	1409.000000	4.417446E+13
510.400000	1302.000000	160.900000	3.189982E-11	4.081528E+13	1302.000000	4.081528E+13
