
CLAM2 Development Software Ver.05:   CLAM2 Development by PES using Synchrotron Light: EDC
Saturday, March 24, 2012
Messured: 11:44:37 AM - 11:56:39 AM


Parameter Setting
Fix Photon Energy: 600.000000 eV
1638.4 eV (XPS): CAE=100
Kinetic Energy Scan:   290.0000 - 325.0000   eV 
 Kinetic Energy Step:  0.1000   eV 
 1200 lines/mm 
 Ch4-Speed:  High Speed Mode 
 Sampling: 1
Number of scan : 2*

Energy (eV)	CPS	Ie (mA)	Ip (A)	CPS/Ip	Avg CPS	Avg CPS/Ip	


Scan : 	1

297.200000	1480.000000	87.922000	2.959837E-10	5.000275E+12	1480.000000	5.000275E+12
297.300000	1549.000000	87.922000	2.952838E-10	5.245801E+12	1549.000000	5.245801E+12
297.400000	1506.000000	87.916000	2.946976E-10	5.110323E+12	1506.000000	5.110323E+12
297.500000	1518.000000	87.916000	2.948326E-10	5.148684E+12	1518.000000	5.148684E+12
297.600000	1581.000000	87.910000	2.955325E-10	5.349665E+12	1581.000000	5.349665E+12
297.700000	1556.000000	87.910000	2.952127E-10	5.270776E+12	1556.000000	5.270776E+12
297.800000	1554.000000	87.905000	2.961471E-10	5.247392E+12	1554.000000	5.247392E+12
297.900000	1582.000000	87.905000	2.954472E-10	5.354595E+12	1582.000000	5.354595E+12
298.000000	1507.000000	87.905000	2.972307E-10	5.070136E+12	1507.000000	5.070136E+12
298.100000	1546.000000	87.900000	2.970033E-10	5.205329E+12	1546.000000	5.205329E+12
298.200000	1608.000000	87.900000	2.962857E-10	5.427194E+12	1608.000000	5.427194E+12
298.300000	1545.000000	87.894000	2.944276E-10	5.247470E+12	1545.000000	5.247470E+12
298.400000	1568.000000	87.894000	2.946337E-10	5.321862E+12	1568.000000	5.321862E+12
298.500000	1670.000000	87.888000	2.953833E-10	5.653671E+12	1670.000000	5.653671E+12
298.600000	1617.000000	87.888000	2.947225E-10	5.486517E+12	1617.000000	5.486517E+12
298.700000	1654.000000	87.888000	2.981366E-10	5.547793E+12	1654.000000	5.547793E+12
298.800000	1744.000000	87.882000	2.979128E-10	5.854062E+12	1744.000000	5.854062E+12
298.900000	1668.000000	87.882000	2.977991E-10	5.601091E+12	1668.000000	5.601091E+12
299.000000	1634.000000	87.882000	2.981935E-10	5.479663E+12	1634.000000	5.479663E+12
299.100000	1731.000000	87.876000	2.982503E-10	5.803850E+12	1731.000000	5.803850E+12
299.200000	1723.000000	87.876000	2.982503E-10	5.777027E+12	1723.000000	5.777027E+12
299.300000	1702.000000	87.871000	2.981082E-10	5.709336E+12	1702.000000	5.709336E+12
299.400000	1633.000000	87.871000	2.977174E-10	5.485067E+12	1633.000000	5.485067E+12
299.500000	1769.000000	87.866000	2.976641E-10	5.942940E+12	1769.000000	5.942940E+12
299.600000	1726.000000	87.866000	2.980016E-10	5.791915E+12	1726.000000	5.791915E+12
299.700000	1759.000000	87.861000	2.980300E-10	5.902090E+12	1759.000000	5.902090E+12
299.800000	1832.000000	87.861000	2.981153E-10	6.145273E+12	1832.000000	6.145273E+12
299.900000	1776.000000	87.856000	2.979519E-10	5.960694E+12	1776.000000	5.960694E+12
300.000000	1844.000000	87.856000	2.945661E-10	6.260055E+12	1844.000000	6.260055E+12
300.100000	1774.000000	87.850000	2.958558E-10	5.996164E+12	1774.000000	5.996164E+12
300.200000	1811.000000	87.850000	2.978133E-10	6.080991E+12	1811.000000	6.080991E+12
300.300000	1783.000000	87.850000	2.975966E-10	5.991332E+12	1783.000000	5.991332E+12
300.400000	1747.000000	87.845000	2.950102E-10	5.921829E+12	1747.000000	5.921829E+12
300.500000	1788.000000	87.845000	2.946550E-10	6.068114E+12	1788.000000	6.068114E+12
300.600000	1838.000000	87.840000	2.946585E-10	6.237729E+12	1838.000000	6.237729E+12
300.700000	1806.000000	87.840000	2.943459E-10	6.135638E+12	1806.000000	6.135638E+12
300.800000	1741.000000	87.834000	2.955076E-10	5.891557E+12	1741.000000	5.891557E+12
300.900000	1767.000000	87.834000	2.947864E-10	5.994171E+12	1767.000000	5.994171E+12
301.000000	1825.000000	87.828000	2.973124E-10	6.138325E+12	1825.000000	6.138325E+12
301.100000	1799.000000	87.828000	2.975682E-10	6.045673E+12	1799.000000	6.045673E+12
301.200000	1816.000000	87.828000	2.975646E-10	6.102876E+12	1816.000000	6.102876E+12
301.300000	1871.000000	87.823000	2.977707E-10	6.283358E+12	1871.000000	6.283358E+12
301.400000	1815.000000	87.823000	2.978453E-10	6.093767E+12	1815.000000	6.093767E+12
301.500000	1827.000000	87.818000	2.977458E-10	6.136107E+12	1827.000000	6.136107E+12
301.600000	1819.000000	87.818000	2.978027E-10	6.108071E+12	1819.000000	6.108071E+12
301.700000	1804.000000	87.813000	2.978169E-10	6.057413E+12	1804.000000	6.057413E+12
301.800000	1851.000000	87.813000	2.974900E-10	6.222058E+12	1851.000000	6.222058E+12
301.900000	1923.000000	87.813000	2.979341E-10	6.454447E+12	1923.000000	6.454447E+12
302.000000	1805.000000	87.807000	2.978240E-10	6.060626E+12	1805.000000	6.060626E+12
302.100000	1866.000000	87.807000	2.976925E-10	6.268213E+12	1866.000000	6.268213E+12
302.200000	1795.000000	87.802000	2.979590E-10	6.024319E+12	1795.000000	6.024319E+12
302.300000	1804.000000	87.802000	2.975327E-10	6.063199E+12	1804.000000	6.063199E+12
302.400000	1738.000000	87.797000	2.973941E-10	5.844097E+12	1738.000000	5.844097E+12
302.500000	1781.000000	87.797000	2.976854E-10	5.982826E+12	1781.000000	5.982826E+12
302.600000	1900.000000	87.792000	2.974545E-10	6.387532E+12	1900.000000	6.387532E+12
302.700000	1917.000000	87.792000	2.974332E-10	6.445145E+12	1917.000000	6.445145E+12
302.800000	1824.000000	87.788000	2.954472E-10	6.173692E+12	1824.000000	6.173692E+12
302.900000	1777.000000	87.788000	2.948184E-10	6.027439E+12	1777.000000	6.027439E+12
303.000000	1833.000000	87.788000	2.972413E-10	6.166707E+12	1833.000000	6.166707E+12
303.100000	1883.000000	87.782000	2.949037E-10	6.385135E+12	1883.000000	6.385135E+12
303.200000	1905.000000	87.782000	2.947509E-10	6.463085E+12	1905.000000	6.463085E+12
303.300000	1914.000000	87.777000	2.946940E-10	6.494873E+12	1914.000000	6.494873E+12
303.400000	2046.000000	87.777000	2.950493E-10	6.934434E+12	2046.000000	6.934434E+12
303.500000	2002.000000	87.772000	2.960441E-10	6.762506E+12	2002.000000	6.762506E+12
303.600000	2036.000000	87.772000	2.953584E-10	6.893320E+12	2036.000000	6.893320E+12
303.700000	1982.000000	87.766000	2.953549E-10	6.710571E+12	1982.000000	6.710571E+12
303.800000	2055.000000	87.766000	2.956106E-10	6.951713E+12	2055.000000	6.951713E+12
303.900000	2179.000000	87.761000	2.958132E-10	7.366135E+12	2179.000000	7.366135E+12
304.000000	2226.000000	87.761000	2.973266E-10	7.486717E+12	2226.000000	7.486717E+12
304.100000	2155.000000	87.761000	2.954685E-10	7.293502E+12	2155.000000	7.293502E+12
304.200000	2358.000000	87.755000	2.945377E-10	8.005766E+12	2358.000000	8.005766E+12
304.300000	2320.000000	87.755000	2.951275E-10	7.861009E+12	2320.000000	7.861009E+12
304.400000	2421.000000	87.749000	2.973373E-10	8.142268E+12	2421.000000	8.142268E+12
304.500000	2577.000000	87.749000	2.955716E-10	8.718700E+12	2577.000000	8.718700E+12
304.600000	2652.000000	87.743000	2.952305E-10	8.982812E+12	2652.000000	8.982812E+12
304.700000	2719.000000	87.743000	2.956106E-10	9.197911E+12	2719.000000	9.197911E+12
304.800000	2955.000000	87.738000	2.959091E-10	9.986175E+12	2955.000000	9.986175E+12
304.900000	3057.000000	87.738000	2.954934E-10	1.034541E+13	3057.000000	1.034541E+13
305.000000	3189.000000	87.732000	2.956320E-10	1.078706E+13	3189.000000	1.078706E+13
305.100000	3539.000000	87.732000	2.956178E-10	1.197154E+13	3539.000000	1.197154E+13
305.200000	3868.000000	87.732000	2.963851E-10	1.305059E+13	3868.000000	1.305059E+13
305.300000	3949.000000	87.726000	2.963247E-10	1.332660E+13	3949.000000	1.332660E+13
305.400000	4313.000000	87.726000	2.941896E-10	1.466061E+13	4313.000000	1.466061E+13
305.500000	4787.000000	87.720000	2.952518E-10	1.621328E+13	4787.000000	1.621328E+13
305.600000	5083.000000	87.720000	2.952518E-10	1.721581E+13	5083.000000	1.721581E+13
305.700000	5523.000000	87.714000	2.953264E-10	1.870134E+13	5523.000000	1.870134E+13
305.800000	5975.000000	87.714000	2.972094E-10	2.010367E+13	5975.000000	2.010367E+13
305.900000	6442.000000	87.709000	2.958522E-10	2.177439E+13	6442.000000	2.177439E+13
306.000000	6718.000000	87.709000	2.957954E-10	2.271164E+13	6718.000000	2.271164E+13
306.100000	7355.000000	87.709000	2.960405E-10	2.484457E+13	7355.000000	2.484457E+13
306.200000	7506.000000	87.704000	2.942784E-10	2.550646E+13	7506.000000	2.550646E+13
306.300000	8321.000000	87.704000	2.951985E-10	2.818781E+13	8321.000000	2.818781E+13
306.400000	8215.000000	87.698000	2.968257E-10	2.767617E+13	8215.000000	2.767617E+13
306.500000	8573.000000	87.698000	2.944311E-10	2.911717E+13	8573.000000	2.911717E+13
306.600000	8716.000000	87.693000	2.961151E-10	2.943450E+13	8716.000000	2.943450E+13
306.700000	9046.000000	87.693000	2.945946E-10	3.070660E+13	9046.000000	3.070660E+13
306.800000	9078.000000	87.688000	2.951630E-10	3.075589E+13	9078.000000	3.075589E+13
306.900000	9359.000000	87.688000	2.973017E-10	3.147981E+13	9359.000000	3.147981E+13
307.000000	9263.000000	87.682000	2.972413E-10	3.116323E+13	9263.000000	3.116323E+13
307.100000	9098.000000	87.682000	2.971099E-10	3.062167E+13	9098.000000	3.062167E+13
307.200000	8957.000000	87.682000	2.972484E-10	3.013305E+13	8957.000000	3.013305E+13
307.300000	8626.000000	87.677000	2.954188E-10	2.919922E+13	8626.000000	2.919922E+13
307.400000	7977.000000	87.677000	2.948681E-10	2.705277E+13	7977.000000	2.705277E+13
307.500000	7626.000000	87.672000	2.942571E-10	2.591611E+13	7626.000000	2.591611E+13
307.600000	7229.000000	87.672000	2.970353E-10	2.433717E+13	7229.000000	2.433717E+13
307.700000	6722.000000	87.666000	2.952945E-10	2.276372E+13	6722.000000	2.276372E+13
307.800000	6234.000000	87.666000	2.941007E-10	2.119682E+13	6234.000000	2.119682E+13
307.900000	5610.000000	87.661000	2.942500E-10	1.906542E+13	5610.000000	1.906542E+13
308.000000	5037.000000	87.661000	2.949783E-10	1.707583E+13	5037.000000	1.707583E+13
308.100000	4521.000000	87.661000	2.950671E-10	1.532194E+13	4521.000000	1.532194E+13
308.200000	4060.000000	87.655000	2.972520E-10	1.365844E+13	4060.000000	1.365844E+13
308.300000	3693.000000	87.655000	2.965024E-10	1.245521E+13	3693.000000	1.245521E+13
308.400000	3236.000000	87.649000	2.968932E-10	1.089954E+13	3236.000000	1.089954E+13
308.500000	2803.000000	87.649000	2.966054E-10	9.450266E+12	2803.000000	9.450266E+12
308.600000	2481.000000	87.644000	2.967440E-10	8.360742E+12	2481.000000	8.360742E+12
308.700000	2196.000000	87.644000	2.972840E-10	7.386876E+12	2196.000000	7.386876E+12
308.800000	1783.000000	87.639000	2.972733E-10	5.997848E+12	1783.000000	5.997848E+12
308.900000	1660.000000	87.639000	2.973053E-10	5.583486E+12	1660.000000	5.583486E+12
309.000000	1379.000000	87.634000	2.955964E-10	4.665145E+12	1379.000000	4.665145E+12
309.100000	1259.000000	87.634000	2.946123E-10	4.273413E+12	1259.000000	4.273413E+12
309.200000	1131.000000	87.634000	2.942748E-10	3.843346E+12	1131.000000	3.843346E+12
309.300000	1010.000000	87.629000	2.947544E-10	3.426582E+12	1010.000000	3.426582E+12
309.400000	959.000000	87.629000	2.940013E-10	3.261890E+12	959.000000	3.261890E+12
309.500000	888.000000	87.623000	2.941611E-10	3.018754E+12	888.000000	3.018754E+12
309.600000	852.000000	87.623000	2.943921E-10	2.894099E+12	852.000000	2.894099E+12
309.700000	764.000000	87.617000	2.953513E-10	2.586750E+12	764.000000	2.586750E+12
309.800000	723.000000	87.617000	2.938130E-10	2.460749E+12	723.000000	2.460749E+12
309.900000	769.000000	87.612000	2.957776E-10	2.599926E+12	769.000000	2.599926E+12
310.000000	652.000000	87.612000	2.946230E-10	2.212998E+12	652.000000	2.212998E+12
310.100000	642.000000	87.612000	2.936744E-10	2.186095E+12	642.000000	2.186095E+12
310.200000	622.000000	87.607000	2.966694E-10	2.096610E+12	622.000000	2.096610E+12
310.300000	583.000000	87.607000	2.970424E-10	1.962683E+12	583.000000	1.962683E+12
310.400000	567.000000	87.601000	2.969784E-10	1.909230E+12	567.000000	1.909230E+12
310.500000	617.000000	87.601000	2.968044E-10	2.078810E+12	617.000000	2.078810E+12
310.600000	564.000000	87.596000	2.968576E-10	1.899901E+12	564.000000	1.899901E+12
310.700000	543.000000	87.596000	2.972236E-10	1.826907E+12	543.000000	1.826907E+12
310.800000	526.000000	87.591000	2.972129E-10	1.769775E+12	526.000000	1.769775E+12
310.900000	483.000000	87.591000	2.970566E-10	1.625953E+12	483.000000	1.625953E+12
311.000000	489.000000	87.585000	2.970673E-10	1.646092E+12	489.000000	1.646092E+12
311.100000	496.000000	87.585000	2.943459E-10	1.685092E+12	496.000000	1.685092E+12
311.200000	476.000000	87.585000	2.942997E-10	1.617399E+12	476.000000	1.617399E+12
311.300000	508.000000	87.579000	2.947864E-10	1.723282E+12	508.000000	1.723282E+12
311.400000	469.000000	87.579000	2.955325E-10	1.586966E+12	469.000000	1.586966E+12
311.500000	470.000000	87.574000	2.973017E-10	1.580886E+12	470.000000	1.580886E+12
311.600000	457.000000	87.574000	2.971632E-10	1.537875E+12	457.000000	1.537875E+12
311.700000	447.000000	87.569000	2.973195E-10	1.503433E+12	447.000000	1.503433E+12
311.800000	435.000000	87.569000	2.972378E-10	1.463475E+12	435.000000	1.463475E+12
311.900000	439.000000	87.564000	2.973799E-10	1.476226E+12	439.000000	1.476226E+12
312.000000	444.000000	87.564000	2.970353E-10	1.494772E+12	444.000000	1.494772E+12
312.100000	436.000000	87.564000	2.970708E-10	1.467664E+12	436.000000	1.467664E+12
